JEP,1J4,JEPH.SI
JES Intl,EG0,JSIH.SI
Jiutian Chemical,C8R,JUTN.SI
JMH USD,J36,JARD.SI
Joyas Intl,E9L,JIHL.SI
JSH USD,J37,JSH.SI
Jubilee,NHD,JLJH.SI
Jumbo,42R,JUMB.SI
Karin Tech,K29,KARI.SI
Katrina,1A0,KATR.SI
Kencana Agri,BNE,KCAL.SI
Keong Hong,5TT,KEHO.SI
Kep Infra Tr,A7RU,KEPL.SI
KepPacOakReitUSD,CMOU,KPEL.SI
Keppel Corp,BN4,KPLM.SI
Keppel DC Reit,AJBU,KEPE.SI
Keppel Reit,K71U,KASA.SI
Khong Guan,K03,KHON.SI
KimHeng Offshore,5G2,KIMH.SI
Kimly,1D0,KIML.SI
King Wan,554,KIWC.SI
KingsmenCreative,5MZ,KMEN.SI
Kitchen Culture,5TI,KCHL.SI
KLW,504,KLWH.SI
Koda,BJZ,KODA.SI
Koh Bros,K75,KBRO.SI
Koh Eco,5HV,KBEE.SI
Koon,5DL,KOON.SI
KOP,5I1,KOPL.SI
Kori,5VC,KORI.SI
Koufu,VL6,KOUF.SI
Koyo Intl,5OC,KOYO.SI
KrisEnergy,SK3,KRIS.SI
KS Energy,578,KSTL.SI
KSH,ER0,KSHH.SI
KTL Global,EB7,KTLG.SI
KTMG,XCF,KTMG.SI
Lafe,AYB,LAFE.SI
Lasseters Intl,5EL,LASS.SI
LCT,BJL,LCTH.SI
Leader Env,LS9,LETL.SI
Lendlease Reit,JYEU,
Ley Choon,Q0X,LEYC.SI
LHN,41O,LHNL.SI
LHT,BEI,LHTH.SI
Lian Beng,L03,LIBG.SI
Libra,5TR,LIGL.SI
LifeBrandz,1D3,LIFE.SI
Linc Energy,BRE,LINC.SI
Lion Asiapac,BAZ,LIAS.SI
LionGold,A78,LION.SI
Lippo Malls Tr,D5IU,LMRT.SI
Lonza,O6Z,LONN.S
Lorenzo Intl,5IE,LRZI.SI
Low Keng Huat,F1E,LKH.SI
Lum Chang,L19,LUCS.SI
Lung Kee Bermuda,L09,0255.HK
Luxking,BKK,LUKG.SI
Luzhou Bio-Chem,L46,LUZH.SI
LY Corp,1H8,LYCO.SI
M Development,N14,MDVT.SI
Magnus Energy,41S,MAGN.SI
Man Oriental USD,M04,MOIL.SI
Manhattan Res,L02,MANH.SI
ManulifeReit USD,BTOU,MANU.SI
Mapletree Com Tr,N2IU,MACT.SI
Mapletree Ind Tr,ME8U,MAPI.SI
Mapletree Log Tr,M44U,MAPL.SI
Mapletree NAC Tr,RW0U,MAPE.SI
MarcoPolo Marine,5LY,MAPM.SI
Maruwa Yen1k,M12,5344.T
Mary Chia,5OX,MARY.SI
Matex Intl,M15,MATE.SI
Maxi-Cash Fin,5UF,MAXI.SI
MDR Limited,Y3D,MDRT.SI
Medinex,OTX,MEDN.SI
Medtecs Intl,546,MTCS.SI
MegaChem,5DS,MEGA.SI
MeGroup,SJY,MEGR.SI
Memiontec,SYM,MEMI.SI
Memories,1H4,MEMO.SI
Memstar Tech,5MS,MEMS.SI
Mencast,5NF,MCHL.SI
Mercurius,5RF,MERC.SI
Mermaid Maritime,DU4,MMPC.SI
Metal Component,5DX,META.SI
Metech Intl,V3M,METE.SI
Metro,M01,MTHL.SI
Mewah Intl,MV4,MEWI.SI
MFG Integration,M11,MITD.SI
Micro-Mechanics,5DD,MMEC.SI
Midas,5EN,MIDA.SI
MindChamps,CNE,MIND.SI
Mirach Energy,AWO,MIEL.SI
Miyoshi,M03,MIYO.SI
MM2 Asia,1B0,MM2A.SI
MMP Resources,F3V,MMPR.SI
MoneyMax Fin,5WJ,MFSL.SI
Moya Asia,5WE,MOYA.SI
MS Hldgs,40U,MSHO.SI
MSC,NPW,MSCB.KL
MSM Intl,5QR,MSML.SI
MTQ,M05,MTLS.SI
Multi-Chem,AWZ,MCHE.SI
Mun Siong Engg,MF6,MSEL.SI
Murata Yen1k,PJX,
MYP,F86,MYPL.SI
Nam Cheong,N4E,NMCG.SI
Nam Lee Metal,G0I,NLPM.SI
Natural Cool,5IF,NCHL.SI
NauticAWT,42D,NAUT.SI
Neo,5UJ,NEOG.SI
NeraTel,N01,NERA.SI
Net Pacific Fin,5QY,NPFH.SI
NetLink NBN Tr,CJLU,NETL.SI
New Silkroutes,BMT,NEWS.SI
New Toyo,N08,NTYO.SI
New Wave,5FX,NEWW.SI
NGSC,B07,NGSC.SI
Nico Steel,5GF,NICO.SI
Nippecraft,N32,NIPP.SI
No Signboard,1G6,NOSI.SI
Noble,CGP,NOBG.SI
Noel Gifts Intl,543,NOEL.SI
Nomura Yen1k,N33,8604.T
Nordic,MR7,NRGL.SI
NSL,N02,NATS.SI
Ntegrator Intl,5HC,NTOR.SI
NutryFarm,AZT,NUTR.SI
OCBC Bank,O39,OCBC.SI
Ocean Sky Intl,1B6,OCEA.SI
Oceanus,579,OCGL.SI
OEL,584,OELH.SI
OIO,KUX,OIOH.SI
OKH Global,S3N,OKHG.SI
OKP,5CF,OKPH.SI
Olam Intl,O32,OLAM.SI
Old Chang Kee,5ML,OCKL.SI
Olive Tree,1H2,OLIV.SI
OneApex,5SY,ONEA.SI
Ossia Intl,O08,OSSA.SI
OUE,LJ3,OVES.SI
OUE Com Reit,TS0U,OUEC.SI
OUE Lippo HC,5WA,OUEL.SI
Ouhua Energy,AJ2,OUEH.SI
Overseas Edu,RQ1,OVER.SI
Oxley,5UX,OXHL.SI
P5 Capital,5AI,P5CA.SI
Pacific Andes,P11,PACF.SI
Pacific Century,P15,PCEN.SI
Pacific Radiance,T8V,PACI.SI
Pacific Star Dev,1C5,PACS.SI
Pan Asian,5EW,PANA.SI
Pan Hong,P36,PANH.SI
Pan Ocean,AZY,PANOx.SI
PanUnited,P52,PANU.SI
Parkson Retail,O9E,PRAL.SI
ParkwayLife Reit,C2PU,PWLR.SI
Pavillon,596,PAVI.SI
PEC,IX2,PECL.SI
Penguin Intl,BTM,PGUN.SI
Perennial Hldgs,40S,PERE.SI
Pharmesis Intl,BFK,PHAR.SI
Pine Cap,ADJ,PINC.SI
Plastoform,AYD,PFML.SI
PlatoCapital,YYN,PLAT.SI
PNE Industries,BDA,PNEI.SI
Polaris,5BI,POLA.SI
Pollux Prop,5AE,PLPS.SI
Powermatic Data,BCY,PMDS.SI
Prime US ReitUSD,OXMU,PRIE.SI
Procurri,BVQ,PROC.SI
Progen,583,POGN.SI
PropNex,OYY,PROP.SI
Prudential USD,K6S,PRU.L
PSL,BLL,PSLL.SI
Q&M Dental,QC7,QMDT.SI
QAF,Q01,QAFS.SI
Qian Hu,BCV,QIAN.SI
QT Vascular,5I0,QTVA.SI
Raffles Edu,NR7,RLSE.SI
Raffles Infrastructure,LUY,RAFL.SI
Raffles Medical,BSL,RAFG.SI
RE&S Hldg,1G1,RESH.SI
Reclaims Global,NEX,RECL.SI
Reenova Investment,5EC,REEN.SI
Regal Intl,UV1,REGI.SI
Renaissance United,I11,RENA.SI
Resources Gbl,QSD,RESU.SI
Resources Prima,5MM,RESO.SI
Revez,RCU,REVE.SI
Rex Intl,5WH,REXI.SI
RH PetroGas,T13,RHPG.SI
RHT HealthTrust,RF1U,RHTH.SI
Rich Capital,5G4,RICH.SI
Riverstone,AP4,RVHL.SI
Roxy-Pacific,E8Z,RXYP.SI
Ryobi Kiso,BDN,RKHL.SI
Sabana Reit,M1GU,SABA.SI
Sakae,5DO,SAKA.SI
Samko Timber,E6R,SAMT.SI
SamuderaShipping,S56,SAMU.SI
Samurai,1C3,SAMR.SI
Sanli Env,1E3,SANL.SI
Santak,580,SATK.SI
Sapphire,BRD,SAPP.SI
Sarine Tech,U77,SARI.SI
Sasseur Reit,CRPU,SASS.SI
SATS,S58,SATS.SI
SBI Offshore,5PL,SBIO.SI
SBS Transit,S61,SBVV.SI
Second Chance,528,SECD.SI
Secura,43B,SECU.SI
